japanese,sicilian
食べましょう,manciamu
私は...,io sugnu...
私は...(する),lo fazzu u/a...
私はシチリア語を話します,Parri sicilianu
私は英語を学びます,studiu u sicilianu
カルメーラとガブリエレはいますか,Ci sunnu Carmela e Gabriele?
カルメーラはいますか,C'e Carmela?
（あなたには）関係ありませんよ,non sonnu fatti to
この人たちは誰ですか？,cu su sti cristiani?
ここにいるこの人（男性）は,Chistu cca e...
ここにいるこの人（女性）は,Chista cca e...
これらは私のいとこたちです,Chisti su i me cucini
これは私のいとこです,Chistu e me cucinu
これは私のいとこのマッテオです,Iddu e me cucinu Matteo
あなたは寝ないといけません,Ta gghiri a curcari
寝てください,Va curchiti
これから寝ますか？,Ti sta ennu a curcari?
以前あったことがありますか？,Ncuntrammu?
私も,puru io
もちろん,certo
いいね！,cetto!
こっそり、秘密に,ammucciuni
早く！,spirugghjati
わかりません,non ti capiu
...に...をかける,misi...cu(ca)
残念ながら寝てません,pirchi nunnaiu durmutu
寝ないといけません,aiu a dommiri
問題ない,di nienti
見せて,fammi viriri
行きましょう！,iamu
知ってる？ / 知ってるよ,U sai / U sacciu
みて！,Talia!
次の〇〇はいつですか？,Quannu e u prossimu...
今夜誰がきますか？,Cu veni stasira?
